game_id,p1_model,p2_model,outcome
iter1_0v1_g1,ollama:granite4:3b,ollama:ministral-3:3b,p1_wins
iter1_0v1_g2,ollama:ministral-3:3b,ollama:granite4:3b,p1_wins
iter1_0v1_g3,ollama:granite4:3b,ollama:ministral-3:3b,p1_wins
iter1_0v2_g1,ollama:granite4:3b,ollama:qwen3.5:4b,p2_wins
iter1_0v2_g2,ollama:qwen3.5:4b,ollama:granite4:3b,p2_wins
iter1_0v2_g3,ollama:granite4:3b,ollama:qwen3.5:4b,p1_wins
iter1_0v3_g1,ollama:granite4:3b,ollama:gemma4:e4b,p1_wins
iter1_0v3_g2,ollama:gemma4:e4b,ollama:granite4:3b,p2_wins
iter1_0v3_g3,ollama:granite4:3b,ollama:gemma4:e4b,p1_wins
iter1_0v4_g1,ollama:granite4:3b,ollama:phi4-mini:3.8b,p2_wins
iter1_0v4_g2,ollama:phi4-mini:3.8b,ollama:granite4:3b,p1_wins
iter1_0v4_g3,ollama:granite4:3b,ollama:phi4-mini:3.8b,p1_wins
iter1_0v5_g1,ollama:granite4:3b,ollama:llama3.2:3b,p1_wins
iter1_0v5_g2,ollama:llama3.2:3b,ollama:granite4:3b,p2_wins
iter1_0v5_g3,ollama:granite4:3b,ollama:llama3.2:3b,p1_wins
iter1_1v2_g1,ollama:ministral-3:3b,ollama:qwen3.5:4b,p1_wins
iter1_1v2_g2,ollama:qwen3.5:4b,ollama:ministral-3:3b,p1_wins
iter1_1v2_g3,ollama:ministral-3:3b,ollama:qwen3.5:4b,p1_wins
iter1_1v3_g1,ollama:ministral-3:3b,ollama:gemma4:e4b,p2_wins
iter1_1v3_g2,ollama:gemma4:e4b,ollama:ministral-3:3b,p1_wins
iter1_1v3_g3,ollama:ministral-3:3b,ollama:gemma4:e4b,p2_wins
iter1_1v4_g1,ollama:ministral-3:3b,ollama:phi4-mini:3.8b,p1_wins
iter1_1v4_g2,ollama:phi4-mini:3.8b,ollama:ministral-3:3b,p2_wins
iter1_1v4_g3,ollama:ministral-3:3b,ollama:phi4-mini:3.8b,p1_wins
iter1_1v5_g1,ollama:ministral-3:3b,ollama:llama3.2:3b,p1_wins
iter1_1v5_g2,ollama:llama3.2:3b,ollama:ministral-3:3b,p1_wins
iter1_1v5_g3,ollama:ministral-3:3b,ollama:llama3.2:3b,p2_wins
iter1_2v3_g1,ollama:qwen3.5:4b,ollama:gemma4:e4b,p2_wins
iter1_2v3_g2,ollama:gemma4:e4b,ollama:qwen3.5:4b,p1_wins
iter1_2v3_g3,ollama:qwen3.5:4b,ollama:gemma4:e4b,p2_wins
iter1_2v4_g1,ollama:qwen3.5:4b,ollama:phi4-mini:3.8b,p2_wins
iter1_2v4_g2,ollama:phi4-mini:3.8b,ollama:qwen3.5:4b,p1_wins
iter1_2v4_g3,ollama:qwen3.5:4b,ollama:phi4-mini:3.8b,p1_wins
iter1_2v5_g1,ollama:qwen3.5:4b,ollama:llama3.2:3b,p1_wins
iter1_2v5_g2,ollama:llama3.2:3b,ollama:qwen3.5:4b,p1_wins
iter1_2v5_g3,ollama:qwen3.5:4b,ollama:llama3.2:3b,p1_wins
iter1_3v4_g1,ollama:gemma4:e4b,ollama:phi4-mini:3.8b,p2_wins
iter1_3v4_g2,ollama:phi4-mini:3.8b,ollama:gemma4:e4b,p1_wins
iter1_3v4_g3,ollama:gemma4:e4b,ollama:phi4-mini:3.8b,p2_wins
iter1_3v5_g1,ollama:gemma4:e4b,ollama:llama3.2:3b,p1_wins
iter1_3v5_g2,ollama:llama3.2:3b,ollama:gemma4:e4b,p2_wins
iter1_3v5_g3,ollama:gemma4:e4b,ollama:llama3.2:3b,p1_wins
iter1_4v5_g1,ollama:phi4-mini:3.8b,ollama:llama3.2:3b,p1_wins
iter1_4v5_g2,ollama:llama3.2:3b,ollama:phi4-mini:3.8b,p2_wins
iter1_4v5_g3,ollama:phi4-mini:3.8b,ollama:llama3.2:3b,p1_wins
iter2_0v1_g1,ollama:granite4:3b,ollama:ministral-3:3b,p1_wins
iter2_0v1_g2,ollama:ministral-3:3b,ollama:granite4:3b,p2_wins
iter2_0v1_g3,ollama:granite4:3b,ollama:ministral-3:3b,p1_wins
iter2_0v2_g1,ollama:granite4:3b,ollama:qwen3.5:4b,p2_wins
iter2_0v2_g2,ollama:qwen3.5:4b,ollama:granite4:3b,p1_wins
iter2_0v2_g3,ollama:granite4:3b,ollama:qwen3.5:4b,p1_wins
iter2_0v3_g1,ollama:granite4:3b,ollama:gemma4:e4b,p1_wins
iter2_0v3_g2,ollama:gemma4:e4b,ollama:granite4:3b,p2_wins
iter2_0v3_g3,ollama:granite4:3b,ollama:gemma4:e4b,p1_wins
iter2_0v4_g1,ollama:granite4:3b,ollama:phi4-mini:3.8b,p1_wins
iter2_0v4_g2,ollama:phi4-mini:3.8b,ollama:granite4:3b,p2_wins
iter2_0v4_g3,ollama:granite4:3b,ollama:phi4-mini:3.8b,p1_wins
iter2_0v5_g1,ollama:granite4:3b,ollama:llama3.2:3b,p1_wins
iter2_0v5_g2,ollama:llama3.2:3b,ollama:granite4:3b,p2_wins
iter2_0v5_g3,ollama:granite4:3b,ollama:llama3.2:3b,p1_wins
iter2_1v2_g1,ollama:ministral-3:3b,ollama:qwen3.5:4b,p2_wins
