game_id,p1_model,p2_model,outcome
iter2_1v2_g2,ollama:qwen3.5:4b,ollama:ministral-3:3b,p1_wins
iter2_1v2_g3,ollama:ministral-3:3b,ollama:qwen3.5:4b,p1_wins
iter2_1v3_g1,ollama:ministral-3:3b,ollama:gemma4:e4b,p1_wins
iter2_1v3_g2,ollama:gemma4:e4b,ollama:ministral-3:3b,p2_wins
iter2_1v3_g3,ollama:ministral-3:3b,ollama:gemma4:e4b,p1_wins
iter2_1v4_g1,ollama:ministral-3:3b,ollama:phi4-mini:3.8b,p1_wins
iter2_1v4_g2,ollama:phi4-mini:3.8b,ollama:ministral-3:3b,p2_wins
iter2_1v4_g3,ollama:ministral-3:3b,ollama:phi4-mini:3.8b,p1_wins
iter2_1v5_g1,ollama:ministral-3:3b,ollama:llama3.2:3b,p1_wins
iter2_1v5_g2,ollama:llama3.2:3b,ollama:ministral-3:3b,p2_wins
iter2_1v5_g3,ollama:ministral-3:3b,ollama:llama3.2:3b,p1_wins
iter2_2v3_g1,ollama:qwen3.5:4b,ollama:gemma4:e4b,p2_wins
iter2_2v3_g2,ollama:gemma4:e4b,ollama:qwen3.5:4b,p1_wins
iter2_2v3_g3,ollama:qwen3.5:4b,ollama:gemma4:e4b,p2_wins
iter2_2v4_g1,ollama:qwen3.5:4b,ollama:phi4-mini:3.8b,p1_wins
iter2_2v4_g2,ollama:phi4-mini:3.8b,ollama:qwen3.5:4b,p1_wins
iter2_2v4_g3,ollama:qwen3.5:4b,ollama:phi4-mini:3.8b,p2_wins
iter2_2v5_g1,ollama:qwen3.5:4b,ollama:llama3.2:3b,p2_wins
iter2_2v5_g2,ollama:llama3.2:3b,ollama:qwen3.5:4b,p1_wins
iter2_2v5_g3,ollama:qwen3.5:4b,ollama:llama3.2:3b,p1_wins
iter2_3v4_g1,ollama:gemma4:e4b,ollama:phi4-mini:3.8b,p2_wins
iter2_3v4_g2,ollama:phi4-mini:3.8b,ollama:gemma4:e4b,p1_wins
iter2_3v4_g3,ollama:gemma4:e4b,ollama:phi4-mini:3.8b,p2_wins
iter2_3v5_g1,ollama:gemma4:e4b,ollama:llama3.2:3b,p1_wins
iter2_3v5_g2,ollama:llama3.2:3b,ollama:gemma4:e4b,p2_wins
iter2_3v5_g3,ollama:gemma4:e4b,ollama:llama3.2:3b,p1_wins
iter2_4v5_g1,ollama:phi4-mini:3.8b,ollama:llama3.2:3b,p1_wins
iter2_4v5_g2,ollama:llama3.2:3b,ollama:phi4-mini:3.8b,p2_wins
iter2_4v5_g3,ollama:phi4-mini:3.8b,ollama:llama3.2:3b,p1_wins
iter3_0v1_g1,ollama:granite4:3b,ollama:ministral-3:3b,p1_wins
iter3_0v1_g2,ollama:ministral-3:3b,ollama:granite4:3b,p2_wins
iter3_0v1_g3,ollama:granite4:3b,ollama:ministral-3:3b,p2_wins
iter3_0v2_g1,ollama:granite4:3b,ollama:qwen3.5:4b,p1_wins
iter3_0v2_g2,ollama:qwen3.5:4b,ollama:granite4:3b,p2_wins
iter3_0v2_g3,ollama:granite4:3b,ollama:qwen3.5:4b,p2_wins
iter3_0v3_g1,ollama:granite4:3b,ollama:gemma4:e4b,p1_wins
iter3_0v3_g2,ollama:gemma4:e4b,ollama:granite4:3b,p2_wins
iter3_0v3_g3,ollama:granite4:3b,ollama:gemma4:e4b,p1_wins
iter3_0v4_g1,ollama:granite4:3b,ollama:phi4-mini:3.8b,p2_wins
iter3_0v4_g2,ollama:phi4-mini:3.8b,ollama:granite4:3b,p2_wins
iter3_0v4_g3,ollama:granite4:3b,ollama:phi4-mini:3.8b,p1_wins
iter3_0v5_g1,ollama:granite4:3b,ollama:llama3.2:3b,p1_wins
iter3_0v5_g2,ollama:llama3.2:3b,ollama:granite4:3b,p2_wins
iter3_0v5_g3,ollama:granite4:3b,ollama:llama3.2:3b,p1_wins
iter3_1v2_g1,ollama:ministral-3:3b,ollama:qwen3.5:4b,p1_wins
iter3_1v2_g2,ollama:qwen3.5:4b,ollama:ministral-3:3b,p2_wins
iter3_1v2_g3,ollama:ministral-3:3b,ollama:qwen3.5:4b,p2_wins
iter3_1v3_g1,ollama:ministral-3:3b,ollama:gemma4:e4b,p2_wins
iter3_1v3_g2,ollama:gemma4:e4b,ollama:ministral-3:3b,p1_wins
iter3_1v3_g3,ollama:ministral-3:3b,ollama:gemma4:e4b,p2_wins
iter3_1v4_g1,ollama:ministral-3:3b,ollama:phi4-mini:3.8b,p2_wins
iter3_1v4_g2,ollama:phi4-mini:3.8b,ollama:ministral-3:3b,p2_wins
iter3_1v4_g3,ollama:ministral-3:3b,ollama:phi4-mini:3.8b,p1_wins
iter3_1v5_g1,ollama:ministral-3:3b,ollama:llama3.2:3b,p1_wins
iter3_1v5_g2,ollama:llama3.2:3b,ollama:ministral-3:3b,p2_wins
iter3_1v5_g3,ollama:ministral-3:3b,ollama:llama3.2:3b,p2_wins
iter3_2v3_g1,ollama:qwen3.5:4b,ollama:gemma4:e4b,p2_wins
iter3_2v3_g2,ollama:gemma4:e4b,ollama:qwen3.5:4b,p1_wins
iter3_2v3_g3,ollama:qwen3.5:4b,ollama:gemma4:e4b,p2_wins
iter3_2v4_g1,ollama:qwen3.5:4b,ollama:phi4-mini:3.8b,p2_wins
iter3_2v4_g2,ollama:phi4-mini:3.8b,ollama:qwen3.5:4b,p1_wins
iter3_2v4_g3,ollama:qwen3.5:4b,ollama:phi4-mini:3.8b,p2_wins
iter3_2v5_g1,ollama:qwen3.5:4b,ollama:llama3.2:3b,p1_wins
iter3_2v5_g2,ollama:llama3.2:3b,ollama:qwen3.5:4b,p1_wins
iter3_2v5_g3,ollama:qwen3.5:4b,ollama:llama3.2:3b,p1_wins
iter3_3v4_g1,ollama:gemma4:e4b,ollama:phi4-mini:3.8b,p1_wins
iter3_3v4_g2,ollama:phi4-mini:3.8b,ollama:gemma4:e4b,p1_wins
iter3_3v4_g3,ollama:gemma4:e4b,ollama:phi4-mini:3.8b,p2_wins
iter3_3v5_g1,ollama:gemma4:e4b,ollama:llama3.2:3b,p1_wins
iter3_3v5_g2,ollama:llama3.2:3b,ollama:gemma4:e4b,p2_wins
iter3_3v5_g3,ollama:gemma4:e4b,ollama:llama3.2:3b,p2_wins
iter3_4v5_g1,ollama:phi4-mini:3.8b,ollama:llama3.2:3b,p1_wins
iter3_4v5_g2,ollama:llama3.2:3b,ollama:phi4-mini:3.8b,p1_wins
iter3_4v5_g3,ollama:phi4-mini:3.8b,ollama:llama3.2:3b,p1_wins
